session id,message id,participant,message
1,1,🧵 생성된 Thread ID,thread_S3fAt4Mz0DNSYYDx7IqFLU2x
1,1,User,야놀자가 소구하고자 하는 브랜드 이미지를 소비자도 느낄까?
1,1,AI,"# 2️⃣ Findings from Sources (증거 수집)

다음은 얻은 정보를 통해 객관적인 데이터, 유사 사례, 행동 원리를 정리한 것입니다.

---

### 📌 객관적 데이터 (Objective Data)

야놀자의 브랜드 이미지 전략 및 소구 포인트:
- 야놀자의 대표적인 브랜드 USP(Unique Selling Proposition)는 '압도적인 가격경쟁력'이고, 소비자에게 '여행을 10배 더 쉽고 즐겁게 누구나 마음 편히 놀 수 있게 한다'는 가치를 전달하고자 합니다【8:9†야놀자_'24년 경쟁PT 킥오프_240109_F.pdf】.
- 브랜드 T&M(Tone & Manner)은 즐거움, 친근함, 세련됨을 핵심으로 잡고 있습니다【8:9†야놀자_'24년 경쟁PT 킥오프_240109_F.pdf】.
- 2020년에서 2023년까지 야놀자는 숙박 중심에서 여행 중심의 브랜드 포지셔닝 변화를 추진하였습니다【8:11†야놀자_'24년 경쟁PT 킥오프_240109_F.pdf】.

소비자들이 실제 인지한 야놀자 광고에 대한 이미지 및 평가:
- 소비자들 일부는 야놀자의 광고가 ""평범하고 특색없으며 임팩트가 없다""고 평가했습니다【8:0†야놀자_'23년 브랜드 성과 및 광고 효과 조사 보고서】.
- ""광고 메시지가 전달이 안 되고 구체적이지 않다""는 지적이 상당히 많았습니다【8:8†야놀자_'23년 브랜드 성과 및 광고 효과 조사 보고서】.
- 일부 광고는 ""모델에 지나치게 의존하고 있다""는 부정적 의견도 존재 했습니다【8:8†야놀자_'23년 브랜드 성과 및 광고 효과 조사 보고서】.

---

### 📌 유사 사례 (Comparable Cases)

브랜드의 의도와 소비자의 인지 간 괴리 현상을 대표적으로 보여주는 사례:
- 2017년에 펩시(Pepsi)의 광고가 사회 문제를 지나치게 단순화 했다며 소비자들에게 거꾸로 부정적인 이미지를 주었습니다.
- 2011년 갭(GAP)의 로고 변경이 소비자들의 강한 반대를 부르며 다시 원래 로고로 돌아간 사례가 대표적입니다.
- 현대카드 M 시리즈 광고가 '멋지고 세련된 이미지'를 목표로 했으나 일부 소비자들에게 복잡하고 이해하기 어렵다는 반응을 보여 의도와 괴리를 일으켰습니다.

---

### 📌 행동 원리 (Underlying Principles)

소비자의 브랜드 이미지 인지 불일치 이유 (소비자 행동론, 심리적 요소):
- 소비자는 지나치게 복잡하거나, 교묘하고 억지스럽다고 느껴지는 브랜드 메시지에 대해 부정적인 반응을 보일 수 있습니다.
- 소비자들은 브랜드가 소통하려고 하는 감성 가치나 철학이 아닌 '상품 자체의 기능적 혜택과 비용 대비 효용성'에 더 초점을 두는 경향이 있습니다. 따라서 의도한 가치전달이 충분히 이루어지지 않을 경우 괴리가 발생할 가능성이 높습니다.

---

# 3️⃣ Connected Dots (연결고리 발견)

## ✅ ""‘압도적 최저가’로 브랜드 이미지를 심으려 했으나 소비자는 '모호한 메시지와 모델 의존'만 기억했다""
야놀자는 브랜드 전략상 '압도적 가격경쟁력'을 강조해왔지만, 실제 소비자에게는 분명하지 않고 메시지가 모호하게 전달되는 경우가 많았습니다. 또한 소비자들은 광고 메시지보다는 광고 속 모델에 지나친 주목이 쏠리는 현상이 존재하였습니다. 광고의 본래 목적인 명확한 메시지 전달과 브랜드 이미지 구축보다 모델의 이미지만 두드러지는 현상은, 브랜드 전략의 목표와 소비자들이 체감하는 현실 사이의 큰 간극을 반영합니다.

## ✅ ""‘즐거움, 친근함’을 표현하려던 광고가 소비자에게는 '평범함과 이해부족'으로 읽히고 있다""
야놀자는 친근하고 즐거운 분위기를 표방했지만 그 결과물이 소비자들에게는 ""평범해서 기억나지 않고 특색 없다""는 평가를 받을 정도로 괴리가 발생하였고, 소구 내용 자체도 구체적이지 않아 이해하기 어렵다는 소비자들의 반응이 있었습니다.

## ✅ ""단순히 브랜드 이미지를 바꾸는게 아니라, 어떻게 전달되는지가 중요하다""
유사 사례에서 보았듯 의도한 메시지가 소비자에게 거부감을 일으키거나 모호하게 전달될 경우 브랜드는 충분한 효과를 거두기 어렵습니다. 소비자는 메시지가 복잡하거나 이해하기 어렵다고 판단되면 브랜드의 핵심 가치를 기억해내기 어려워지며 이는 브랜드 이미지에 직접적인 영향을 미칩니다.

---

# 4️⃣ Potential Answer (잠재적 답변)

야놀자가 소구하려는 브랜드 이미지는 명확합니다. 소비자에게 ""가격 경쟁력과 친근함, 즐거움""을 전달하려는 전략을 갖추고 있지만, 실제 소비자들은 이 메시지를 정확히 느끼지 못하고 있습니다. 실제로 많은 소비자들은 야놀자 광고에서 '모호하고 특색 부족한 메시지, 모델 의존적인 이미지'를 느끼고 있었기 때문입니다.

이러한 괴리가 발생하는 근본적인 이유는, 브랜드가 전하려는 메시지가 소비자들에게 충분히 명확하지 않고 구체적이지 않아서입니다. 소비자는 브랜드가 전하려는 '감성적 가치' 자체를 전달 받은 것이 아니라, 다만 '모델의 이미지'나 '광고의 피상적 특성'만을 기억하게 된 것입니다.

결론적으로 야놀자가 원하는 브랜드 이미지와 소비자가 받아들이는 이미지 사이에는 분명한 차이가 존재하며, 이는 브랜드 전략 자체의 문제라기보다 메시지의 구체성과 소비자 중심적 명확성이 부족한 커뮤니케이션 방식의 문제에서 기인하는 것으로 나타납니다."
1,1,User,"2023년 야놀자의 브랜드 인지도, 광고 효과, 선호도가 경쟁사(여기어때) 대비 어떤 차이를 보였나?"
1,1,AI,"2023년 야놀자의 브랜드 인지도, 광고 효과, 선호도 관련 야놀자와 여기어때의 비교는 아래와 같습니다.

## 2️⃣ Findings from Sources (증거 수집)

### 📌 객관적인 데이터 (Objective Data)

#### 2023년 야놀자 vs. 여기어때 주요 지표 비교【12:0†야놀자_'23년 브랜드 성과 및 광고 효과 조사 보고서(Full Deck)_231006.pdf】

| 지표                      | 야놀자                  | 여기어때                 |
|-------------------------|----------------------|-----------------------|
| 광고 인지도              | 59% (▼21%p 하락)     | 74% (▼14%p 하락)     |
| 광고 전달 메시지 이해도 (TOP3%) | 65% (▲1%p 상승)      | 73% (▼7%p 하락)      |
| 광고 선호도 (TOP3%)      | 66% (▲8%p 상승)      | 69% (▼4%p 하락)      |

#### 소비자들의 선호 및 비선호 이유
- 야놀자:
  - 광고 선호 이유: 모델(44%), 광고 이미지(24%), 이용 관련(21%), 내용 전달/이해(16%)
  - 광고 비선호 이유: 광고 이미지(34%, 평범하고 특색 없음), 내용 전달 부족(25%), 모델 의존(20%)
- 여기어때:
  - 광고 선호 이유: 광고 이미지(49%, 신나고 재밌음), 광고 카피 및 음악(27%), 모델(20%), 광고 장면(14%)
  - 광고 비선호 이유: 광고 이미지(47%, 산만하고 신선하지 않음), 내용 전달 및 이해 부족(18%), 모델(17%)

### 📌 유사 사례 (Comparable Cases)
브랜드 광고에서 이미지 선호도나 전달 메시지의 명확성 차이가 결국 선호도와 브랜드 충성도에 영향을 크게 미친 사례로는, 현대카드와 신한카드의 경쟁 사례가 있습니다. 현대카드는 세련되고 감각적인 이미지로 접근하였으나 일부 소비자에게는 너무 복잡하게 느껴졌고, 신한카드는 간단하고 직관적인 소구점을 잡아 소비자 친화적 메시지로 높은 이해도와 선호도를 획득한 바 있습니다.

### 📌 행동 원리 (Underlying Principles)
일반적으로 브랜드 인지도와 선호도의 괴리는 메시지 자체의 명확성과 광고의 일관성, 친숙함이 좌우합니다. 소비자는 자신이 이해할 수 있고 공감할 수 있는 메시지에 더 쉽게 몰입하며, 반복적이고 지속적인 광고 메시지 전달 방식에 긍정적으로 반응합니다.


## 3️⃣ Connected Dots (연결고리 발견)

### ✅ ""인지도 우위는 여기어때, 메시지 이해도는 엇갈린 결과를 낳았다""
2023년 조사에서 야놀자는 광고 인지도에서 큰 폭의 감소를 경험해 여기어때와 상당한 격차(59% vs. 74%)가 발생하였습니다. 반면 야놀자는 광고의 메시지 이해도와 광고 선호도에서 소폭 상승을 보였습니다. 여기어때는 인지도는 높지만, 메시지 이해도와 선호도의 감소가 보입니다. 소비자들이 광고 메시지를 어느 정도 명확하게 이해하고 받아들였는지가 브랜드를 인지하고 기억하는 데 매우 중요하다는 것을 나타냅니다.

### ✅ ""모델 중심 vs. 광고 이미지 중심 – 근본적 차이가 선호도를 결정했다""
야놀자의 광고는 모델 의존이 크고 구체적인 메시지 전달이 약한 반면, 여기어때는 광고 이미지가 참신하고 재미있다는 평가를 받아 선호도가 높았습니다. 광고 실행에서 모델에만 지나치게 의존할 경우 소비자에게 광고나 브랜드 메시지가 정확히 인지되지 않을 수 있으며, 오히려 부정적인 인상을 심어줄 수 있음을 나타냅니다.

### ✅ ""장기적 광고 전략의 차이가 브랜드 위상을 결정짓는다""
광고 전략에서 핵심 포인트는 '지속성'과 '일관성'입니다. 야놀자는 최근 획기적인 변화나 특색이 부족하다는 평가를 받고 있습니다. 반면 여기어때는 '즐거운 분위기'와 '명확한 카피와 음악'을 지속적으로 유지해 높은 소비자 친화적 이미지를 구축했습니다. 장기적으로 선호도와 충성도를 유지하기 위해선 인지도 뿐 아니라 광고 전달력과 정성적인 평가를 개선해야 합니다.

## 4️⃣ Potential Answer (잠재적 답변)

2023년 야놀자와 여기어때의 비교에서 두 브랜드는 상당히 상반된 모습을 보였습니다:

- **광고 인지도 측면**에서는 여기어때(74%)가 야놀자(59%)를 크게 압도하며 명확한 우위를 점했습니다.
- 하지만 야놀자는 광고 메시지 이해도(65%)와 선호도(66%)에서는 전년 대비 유의미하게 개선되며, 여기어때(메시지 이해도 73%, 선호도 69%)와의 격차를 상당히 좁혔습니다.

야놀자는 광고 자체가 평범하고 모델에 대한 의존도가 크다는 비판을 받았으며, 여기어때는 광고 이미지가 재밌고 신난다는 긍정적 평가를 받았습니다. 반면 여기어때도 광고 이미지가 다소 산만하고 진부하다는 비판 역시 받았습니다. 결국, 두 브랜드는 모두 각자의 문제점을 가지고 있으며, 향후 시장 경쟁에서 더 명확하고 일관된 메시지 전달과 독창적이고 소비자 친화적인 이미지 광고로 경쟁의 승부수를 던질 필요가 있습니다."
1,1,User,감성적 브랜딩이 중요해보이네요. 감성적 브랜드 경험 레퍼런스있나
1,1,AI,🌐웹 검색 중입니다…
1,1,AI,"# 📚 **감성적 브랜드 경험 우수 사례 레퍼런스**

""감성적 브랜드 경험(Emotional Branding Experience)""은 소비자의 감정과 강력히 연결되며, 장기적 충성도 구축과 브랜드 차별화를 가능하게 합니다. 다음 사례들은 산업을 대표하는 강력한 레퍼런스입니다.

---

### ✅ **패션: 리바이스(Levi's)**  
리바이스는 소비자의 정체성과 밀접히 연결된 스토리텔링 전략을 통해 자연스럽게 브랜드와 개인의 감정적 연결을 구축했습니다. 고객은 브랜드를 개인 정체성의 일부로 인식하며, 브랜드와 장기적인 감정적 유대를 형성하게 되었습니다.

>💡 **핵심 전략**: 개인의 정체성과의 밀접한 연결, 깊은 스토리텔링

---

### ✅ **IT 및 전자제품: 삼성(Samsung)**  
삼성은 제품 사용의 경험을 브랜드 감성과 결합해 소비자 삶의 질을 높이는 메시지를 강조하여, 브랜드에 대한 긍정적인 감정적 연결을 구축했습니다. 제품이 소비자에게 가져다주는 가치를 감성적으로 표현하여 충성도를 높이고 있습니다.

>💡 **핵심 전략**: 사용자 경험의 감성적 표현, 삶을 더 나은 방향으로 이끄는 브랜드 철학

---

### ✅ **화장품(식음료 사례에서 확대): 도브(Dove)**  
도브의 광고 캠페인은 소비자들의 현실감 있는 모습과 감정을 중심으로 메시지를 구성했습니다. 이를 통해 아름다움에 대한 진정성과 자신감을 소비자들에게 전달하며 브랜드와 소비자 간의 감정적 유대를 강화했습니다.

>💡 **핵심 전략**: 현실적이고 진정성 있는 감정적 메시지 전달, 소비자의 공감 유도

---

## 🎯 **야놀자 활용 가능성 및 인사이트**

각 사례를 바탕으로 야놀자에 도입할 수 있는 감성적 브랜드 경험 전략을 도출해 볼 수 있습니다:

- **리바이스처럼**, 여행을 통한 '개인 정체성과의 긍정적 변화'를 스토리텔링으로 풀어낸다면 소비자에게 야놀자가 단순한 예약 플랫폼 이상의 의미를 가지게 될 것입니다.
- **삼성처럼**, 여행을 통해 개인이 얻게 되는 가치(소중한 추억, 쉬는 시간을 통한 재충전, 삶의 에너지 회복)를 브랜드 철학으로 설정하고 이를 소비자가 쉽게 공감할 수 있는 감성적 캠페인을 통해 제시하면 더욱 의미 있는 브랜드 경험을 제공할 수 있습니다.
- **도브처럼**, 이상화된 여행 이미지 대신 일상적인 상황 속에서 소비자가 실제 느끼는 다양한 감정(설렘, 자유, 치유, 활력 등)을 현실감 있고 진정성 있게 전달하면 더 높은 공감을 이끌어 낼 수 있습니다.

""감성 마케팅""은 결국 브랜드가 제안하는 특색 있는 가치를 명확하고 진정성 있게 전달할 때 소비자의 기억과 공감을 얻습니다. 야놀자가 장기적으로 브랜드 충성도를 확보하려면, 가격 경쟁력 외에도 소비자의 감정적 차원과 긴밀히 연결된 브랜드 경험이 필요합니다. 위 사례를 참고해 전략을 구체화시킬 수 있을 것입니다."
1,1,User,도브를 어떻게 벤치마킹할수있을까
1,1,AI,"# 🕊️ 도브(Dove)의 감성 브랜딩 전략을 야놀자가 어떻게 벤치마킹할 수 있을까?

도브는 뷰티 산업을 뒤집은 감성적 브랜드 경험을 만들어 낸 대표 브랜드입니다. 도브는 다음과 같은 전략을 통해 소비자들과 진정성 있는 감정적 연결을 맺었고, 이는 야놀자가 벤치마킹할 만한 매우 유효한 레퍼런스가 됩니다.  

아래는 도브의 핵심 전략을 ""분석→야놀자에 적용하는 방법→기대효과""의 구조로 정리한 것입니다.

---

## ① 자아의 가치를 확인시키는 진정한 메시지 (Real Beauty, Real People)

### ✅ **도브가 한 전략은?**  
- 현실적인 소비자 모습을 있는 그대로 보여주며 이상적인 미의 기준을 깨고 소비자의 '자기 긍정(self-acceptance)'을 자극합니다. 
- 일반 여성들을 광고 모델로 기용해 ""모든 사람은 아름답다""는 진정성 있는 메시지를 효과적으로 전달했습니다.

### 🎯 **야놀자에 적용한다면?**  
- 여행상품이나 숙박시설을 지나치게 낭만적이고 비현실적인 이미지로 그리는 대신 실제 이용자들의 실제적인 여행 경험과 감정을 담은 콘텐츠를 제작하고 제시하여 공감을 끌어냅니다.
- 모델이나 일반 이용자의 실제 여행 모습을 담은 자연스럽고 다양한 사람들을 활용한 광고 캠페인을 모색할 수 있습니다.

### 💬 **기대효과**  
- 소비자는 ‘나와 비슷한 사람’의 경험과 감정을 통해 브랜드와 개인적으로 더 깊은 공감대를 형성할 수 있을 것입니다.
- 현실적이고 진정성 있는 브랜드로 포지셔닝 하여 장기적인 충성도 확립이 쉬워집니다.

---

## ② 숨겨진 소비자의 속마음을 깊이 탐색 (Insight-Driven Storytelling)

### ✅ **도브가 한 전략은?**  
- 소비자의 숨겨진 불안과 고민(자신의 외모에 대한 자신감 부족)을 발견하고 이를 따뜻한 공감의 시선으로 스토리로 풀어냈습니다.

### 🎯 **야놀자에 적용한다면?**  
- 여행이나 레저활동을 할 때 소비자가 느끼는 진짜 ‘속마음’(설렘, 편안함과 동시에 부담, 걱정, 준비의 피로감)을 깊이 조사합니다.
- 소비자의 이런 갈등과 속마음을 따뜻한 위로와 공감의 관점에서 해소하는 브랜드 메시지로 전환합니다(예: ""완벽한 여행이 아니어도 괜찮아, 가끔은 그냥 쉬어 가는 것도 여행이니까"").

### 💬 **기대효과**  
- 소비자는 브랜드가 자신의 진짜 내면적인 감정을 이해한다고 느껴, 브랜드에 대한 깊은 신뢰감을 형성할 것입니다.
- 고객과의 소통 창구가 더 친근하고 개인적으로 변화합니다.

---

## ③ 사회적 메시지와 브랜드 가치를 일치시키는 캠페인 (Social Good Alignment)

### ✅ **도브가 한 전략은?**  
- 사회적으로 중요한 문제—비현실적인 미의 기준 극복, 다양성 존중—를 테마로 선도적 메시지와 캠페인을 진행했습니다.

### 🎯 **야놀자에 적용한다면?**  
- 여가 시간 부족 및 휴식의 사회적 필요성을 부각하고, 여행과 휴식이 사치가 아니라 ‘삶에 꼭 필요한 필수 요소’임을 사회적 메시지로 전달하는 브랜드 캠페인을 펼칩니다.
- 지속 가능한 여행, 소외계층 가족 또는 지역 커뮤니티를 위한 여행 프로그램 등을 활용하여 사회적 책임감과 진정성을 동반하는 캠페인을 진행할 수 있습니다.

### 💬 **기대효과**  
- 소비자는 브랜드가 사회문제까지 고민하는 책임감 있는 브랜드라 인식할 수 있으며, 브랜드 이미지에 깊이 있는 차원을 더할 수 있습니다.

---

## 🚀 **야놀자를 위한 도브 벤치마킹 실천 제안**

| 도브의 감성 전략 포인트 | 야놀자 브랜드에 즉시 적용 가능한 액션 아이템 |
|-------------------------------|---------------------------------------------|
| 현실적인 소비자 모습과 메시지 | 현실적이고 공감을 부르는 여행 경험 콘텐츠 제작 (UGC 중심의 진솔한 이야기) |
| 소비자 심리적 인사이트 활용   | 여행 시 소비자의 실제 고민과 불안 요인을 다루는 공감 메시지 도출 |
| 사회적 가치 연계             | 일상 휴식의 가치와 사회적 책임(지속가능성)을 결합한 캠페인 추진 |

---

## 🎖️ **최종 인사이트**
야놀자는 ""즐겁고 가벼우며 친근한"" 브랜드 이미지 외에 이제는 **소비자의 진짜 감정을 공감** 하는 브랜드로 전환이 필요합니다. 도브의 마케팅 성공 사례를 통해 소비자의 **진짜 경험과 숨겨진 감정을 공감하며 현실적이고 의미 있는 브랜드 포지셔닝을 강화할 수 있습니다.** 소비자에게 야놀자가 ‘자신의 가치를 인정하고 이해하는 브랜드’라는 인식을 주게 된다면, 브랜드 충성도와 장기적인 경쟁력은 자연히 따라올 것입니다."
